Subject,Threshold,Metric,Network,SubjIndex_Exp,SubjIndex_Ref,SubjectID_Exp,SubjectID_Ref,Value
allsubs,0,FNR_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.189722785665991
allsubs,0,FNR_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.634199726402189
allsubs,0,FNR_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.411834789515488
allsubs,0,FNR_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.386798272671191
allsubs,0,FNR_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.0720606826801517
allsubs,0,FNR_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.721283783783784
allsubs,0,FNR_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.459739091318039
allsubs,0,FNR_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.784403669724771
allsubs,0,FNR_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.616141732283465
allsubs,0,FNR_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.661683953630262
allsubs,0,FNR_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.374599786552828
allsubs,0,FNR_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.473019517795637
allsubs,0,FNR_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.56441393875396
allsubs,0,NPV_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.938249107646064
allsubs,0,NPV_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.983572070607585
allsubs,0,NPV_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.972101254747559
allsubs,0,NPV_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.915592455028767
allsubs,0,NPV_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.981858260002449
allsubs,0,NPV_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.989052624227398
allsubs,0,NPV_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.991199629458082
allsubs,0,NPV_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.963512381863859
allsubs,0,NPV_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.981741196648384
allsubs,0,NPV_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.932416874301916
allsubs,0,NPV_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.994665985003408
allsubs,0,NPV_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.962404451146586
allsubs,0,NPV_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.987429492344883
allsubs,0,NPV_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.985785260833563
allsubs,0,NPV_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.981693638153951
allsubs,0,PPV_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.815108379165319
allsubs,0,PPV_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.891899480555945
allsubs,0,PPV_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.656801490737696
allsubs,0,PPV_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.595811051693405
allsubs,0,PPV_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.657929808973789
allsubs,0,PPV_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.464920486435921
allsubs,0,PPV_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.365096283663753
allsubs,0,PPV_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.917686318131257
allsubs,0,PPV_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.349229427159058
allsubs,0,PPV_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.888249794576828
allsubs,0,PPV_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.266393442622951
allsubs,0,PPV_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.645142524723677
allsubs,0,PPV_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.328567423605271
allsubs,0,PPV_cort,PON,1,1,PFM3T7T01,PFM3T7T01,0.635734072022161
allsubs,0,PPV_cort,SCAN,1,1,PFM3T7T01,PFM3T7T01,0.811209439528024
allsubs,0,PPVcorr_Jeffreys_cort,DMN,1,1,PFM3T7T01,PFM3T7T01,0.777706497875859
allsubs,0,PPVcorr_Jeffreys_cort,Vis,1,1,PFM3T7T01,PFM3T7T01,0.855868029881951
allsubs,0,PPVcorr_Jeffreys_cort,FP,1,1,PFM3T7T01,PFM3T7T01,0.645044359949303
allsubs,0,PPVcorr_Jeffreys_cort,DAN,1,1,PFM3T7T01,PFM3T7T01,0.582391262694003
allsubs,0,PPVcorr_Jeffreys_cort,VAN,1,1,PFM3T7T01,PFM3T7T01,0.642040914176123
allsubs,0,PPVcorr_Jeffreys_cort,Sal,1,1,PFM3T7T01,PFM3T7T01,0.467392722055563
allsubs,0,PPVcorr_Jeffreys_cort,AMN,1,1,PFM3T7T01,PFM3T7T01,0.370203121688419
allsubs,0,PPVcorr_Jeffreys_cort,SMd,1,1,PFM3T7T01,PFM3T7T01,0.814225941422594
allsubs,0,PPVcorr_Jeffreys_cort,SMl,1,1,PFM3T7T01,PFM3T7T01,0.35838363422828
allsubs,0,PPVcorr_Jeffreys_cort,Aud,1,1,PFM3T7T01,PFM3T7T01,0.774965083798883
allsubs,0,PPVcorr_Jeffreys_cort,Tpole,1,1,PFM3T7T01,PFM3T7T01,0.281553398058252
allsubs,0,PPVcorr_Jeffreys_cort,MTL,1,1,PFM3T7T01,PFM3T7T01,0.621897596247801
allsubs,0,PPVcorr_Jeffreys_cort,PMN,1,1,PFM3T7T01,PFM3T7T01,0.337124440656297
