Subject,Threshold,Metric,Network,ExpMin,RefMin,Value
PFM3T7T01,0.0,DC_cort,SCAN,30,70,0.716298856687051
PFM3T7T01,0.0,DC_cort,SCAN,35,70,0.710576660289697
PFM3T7T01,0.0,DC_cort,SCAN,40,70,0.713421342134213
PFM3T7T01,0.0,DC_cort,SCAN,45,70,0.732531500572738
PFM3T7T01,0.0,DC_cort,SCAN,5,70,0.602484472049689
PFM3T7T01,0.0,DC_cort,SCAN,50,70,0.728721890122403
PFM3T7T01,0.0,DC_cort,SCAN,55,70,0.724670864338867
PFM3T7T01,0.0,DC_cort,SCAN,60,70,0.722268557130942
PFM3T7T01,0.0,DC_cort,SCAN,65,70,0.685873136214304
PFM3T7T01,0.0,DC_cort,SCAN,70,70,0.675369458128079
PFM3T7T01,0.0,DC_cort,SMd,10,70,0.47908000978713
PFM3T7T01,0.0,DC_cort,SMd,15,70,0.534648813718581
PFM3T7T01,0.0,DC_cort,SMd,20,70,0.570980040367795
PFM3T7T01,0.0,DC_cort,SMd,25,70,0.61909758656873
PFM3T7T01,0.0,DC_cort,SMd,30,70,0.622819920151292
PFM3T7T01,0.0,DC_cort,SMd,35,70,0.621973929236499
PFM3T7T01,0.0,DC_cort,SMd,40,70,0.637906930297583
PFM3T7T01,0.0,DC_cort,SMd,45,70,0.644252063619891
PFM3T7T01,0.0,DC_cort,SMd,5,70,0.405766710353866
PFM3T7T01,0.0,DC_cort,SMd,50,70,0.651077673851159
PFM3T7T01,0.0,DC_cort,SMd,55,70,0.647022962812437
PFM3T7T01,0.0,DC_cort,SMd,60,70,0.648122392211405
PFM3T7T01,0.0,DC_cort,SMd,65,70,0.634408602150538
PFM3T7T01,0.0,DC_cort,SMd,70,70,0.645367412140575
PFM3T7T01,0.0,DC_cort,SMl,10,70,0.455365713188712
PFM3T7T01,0.0,DC_cort,SMl,15,70,0.461676217765043
PFM3T7T01,0.0,DC_cort,SMl,20,70,0.468100231028967
PFM3T7T01,0.0,DC_cort,SMl,25,70,0.522460542290571
PFM3T7T01,0.0,DC_cort,SMl,30,70,0.573186253712346
PFM3T7T01,0.0,DC_cort,SMl,35,70,0.519258796585467
PFM3T7T01,0.0,DC_cort,SMl,40,70,0.500904159132007
PFM3T7T01,0.0,DC_cort,SMl,45,70,0.506018822499453
PFM3T7T01,0.0,DC_cort,SMl,5,70,0.407509472959008
PFM3T7T01,0.0,DC_cort,SMl,50,70,0.515151515151515
PFM3T7T01,0.0,DC_cort,SMl,55,70,0.509018036072144
PFM3T7T01,0.0,DC_cort,SMl,60,70,0.529667149059334
PFM3T7T01,0.0,DC_cort,SMl,65,70,0.474647887323944
PFM3T7T01,0.0,DC_cort,SMl,70,70,0.465021966880703
PFM3T7T01,0.0,DC_cort,Sal,10,70,0.526751592356688
PFM3T7T01,0.0,DC_cort,Sal,15,70,0.584269662921348
PFM3T7T01,0.0,DC_cort,Sal,20,70,0.621264367816092
PFM3T7T01,0.0,DC_cort,Sal,25,70,0.645634161886552
PFM3T7T01,0.0,DC_cort,Sal,30,70,0.657559764048432
PFM3T7T01,0.0,DC_cort,Sal,35,70,0.658376963350785
PFM3T7T01,0.0,DC_cort,Sal,40,70,0.660168940870695
PFM3T7T01,0.0,DC_cort,Sal,45,70,0.623059134456558
PFM3T7T01,0.0,DC_cort,Sal,5,70,0.520850147968792
PFM3T7T01,0.0,DC_cort,Sal,50,70,0.634130575307046
PFM3T7T01,0.0,DC_cort,Sal,55,70,0.648598706498306
PFM3T7T01,0.0,DC_cort,Sal,60,70,0.667839343301085
PFM3T7T01,0.0,DC_cort,Sal,65,70,0.697907456528146
PFM3T7T01,0.0,DC_cort,Sal,70,70,0.695602184535786
PFM3T7T01,0.0,DC_cort,Tpole,10,70,0.296965784377017
PFM3T7T01,0.0,DC_cort,Tpole,15,70,0.396469789545146
PFM3T7T01,0.0,DC_cort,Tpole,20,70,0.332254584681769
PFM3T7T01,0.0,DC_cort,Tpole,25,70,0.410786001147447
PFM3T7T01,0.0,DC_cort,Tpole,30,70,0.441083805923125
PFM3T7T01,0.0,DC_cort,Tpole,35,70,0.404844290657439
PFM3T7T01,0.0,DC_cort,Tpole,40,70,0.402826855123675
PFM3T7T01,0.0,DC_cort,Tpole,45,70,0.410224438902743
PFM3T7T01,0.0,DC_cort,Tpole,5,70,0.297572435395458
PFM3T7T01,0.0,DC_cort,Tpole,50,70,0.396562308164518
PFM3T7T01,0.0,DC_cort,Tpole,55,70,0.412028150991683
PFM3T7T01,0.0,DC_cort,Tpole,60,70,0.427327528466175
PFM3T7T01,0.0,DC_cort,Tpole,65,70,0.451460142067877
PFM3T7T01,0.0,DC_cort,Tpole,70,70,0.455893832943013
PFM3T7T01,0.0,DC_cort,VAN,10,70,0.554429028815368
PFM3T7T01,0.0,DC_cort,VAN,15,70,0.570992366412214
PFM3T7T01,0.0,DC_cort,VAN,20,70,0.552793370756482
PFM3T7T01,0.0,DC_cort,VAN,25,70,0.647279549718574
PFM3T7T01,0.0,DC_cort,VAN,30,70,0.664744051910598
PFM3T7T01,0.0,DC_cort,VAN,35,70,0.671931083991385
PFM3T7T01,0.0,DC_cort,VAN,40,70,0.679023932426091
PFM3T7T01,0.0,DC_cort,VAN,45,70,0.684417689279926
PFM3T7T01,0.0,DC_cort,VAN,5,70,0.62090813093981
PFM3T7T01,0.0,DC_cort,VAN,50,70,0.66232827187274
PFM3T7T01,0.0,DC_cort,VAN,55,70,0.685932648674469
PFM3T7T01,0.0,DC_cort,VAN,60,70,0.670460168233548
PFM3T7T01,0.0,DC_cort,VAN,65,70,0.681983071342201
PFM3T7T01,0.0,DC_cort,VAN,70,70,0.70014627011214
PFM3T7T01,0.0,DC_cort,Vis,10,70,0.909685044844608
PFM3T7T01,0.0,DC_cort,Vis,15,70,0.912183269698022
PFM3T7T01,0.0,DC_cort,Vis,20,70,0.907608320088453
PFM3T7T01,0.0,DC_cort,Vis,25,70,0.908901830282862
PFM3T7T01,0.0,DC_cort,Vis,30,70,0.910716761403022
PFM3T7T01,0.0,DC_cort,Vis,35,70,0.919312714776632
PFM3T7T01,0.0,DC_cort,Vis,40,70,0.916154276131917
PFM3T7T01,0.0,DC_cort,Vis,45,70,0.914414414414414
PFM3T7T01,0.0,DC_cort,Vis,5,70,0.904457704457704
PFM3T7T01,0.0,DC_cort,Vis,50,70,0.916182340172257
PFM3T7T01,0.0,DC_cort,Vis,55,70,0.918363064008395
PFM3T7T01,0.0,DC_cort,Vis,60,70,0.921354603974251
PFM3T7T01,0.0,DC_cort,Vis,65,70,0.928870877585243
PFM3T7T01,0.0,DC_cort,Vis,70,70,0.92951819903219
PFM3T7T01,0.0,FNR_cort,Aud,10,70,0.636454782434329
PFM3T7T01,0.0,FNR_cort,Aud,15,70,0.532985762983758
PFM3T7T01,0.0,FNR_cort,Aud,20,70,0.502707038299579
PFM3T7T01,0.0,FNR_cort,Aud,25,70,0.548024864648085
PFM3T7T01,0.0,FNR_cort,Aud,30,70,0.517746139963906
PFM3T7T01,0.0,FNR_cort,Aud,35,70,0.53398836976138
PFM3T7T01,0.0,FNR_cort,Aud,40,70,0.494285141367556
PFM3T7T01,0.0,FNR_cort,Aud,45,70,0.482654902747143
PFM3T7T01,0.0,FNR_cort,Aud,5,70,0.786043713655504
PFM3T7T01,0.0,FNR_cort,Aud,50,70,0.452777220774012
PFM3T7T01,0.0,FNR_cort,Aud,55,70,0.476639262081412
PFM3T7T01,0.0,FNR_cort,Aud,60,70,0.468818929215962
PFM3T7T01,0.0,FNR_cort,Aud,65,70,0.460397032283938
PFM3T7T01,0.0,FNR_cort,Aud,70,70,0.445357930619611
PFM3T7T01,0.0,FNR_cort,AMN,10,70,0.0216998191681736
PFM3T7T01,0.0,FNR_cort,AMN,15,70,0.0354430379746835
PFM3T7T01,0.0,FNR_cort,AMN,20,70,0.0491862567811935
PFM3T7T01,0.0,FNR_cort,AMN,25,70,0.0435804701627486
PFM3T7T01,0.0,FNR_cort,AMN,30,70,0.0461121157323689
PFM3T7T01,0.0,FNR_cort,AMN,35,70,0.0399638336347197
PFM3T7T01,0.0,FNR_cort,AMN,40,70,0.0430379746835443
PFM3T7T01,0.0,FNR_cort,AMN,45,70,0.0392405063291139
PFM3T7T01,0.0,FNR_cort,AMN,5,70,0.0560578661844485
PFM3T7T01,0.0,FNR_cort,AMN,50,70,0.0444846292947559
PFM3T7T01,0.0,FNR_cort,AMN,55,70,0.038878842676311
PFM3T7T01,0.0,FNR_cort,AMN,60,70,0.0374321880650995
PFM3T7T01,0.0,FNR_cort,AMN,65,70,0.0508137432188065
PFM3T7T01,0.0,FNR_cort,AMN,70,70,0.0593128390596745
PFM3T7T01,0.0,FNR_cort,DAN,10,70,0.488432226456179
PFM3T7T01,0.0,FNR_cort,DAN,15,70,0.362683723462167
PFM3T7T01,0.0,FNR_cort,DAN,20,70,0.429504627109418
PFM3T7T01,0.0,FNR_cort,DAN,25,70,0.442977681001633
PFM3T7T01,0.0,FNR_cort,DAN,30,70,0.442569406641263
PFM3T7T01,0.0,FNR_cort,DAN,35,70,0.429368535655961
PFM3T7T01,0.0,FNR_cort,DAN,40,70,0.398747958628198
PFM3T7T01,0.0,FNR_cort,DAN,45,70,0.414398475775721
PFM3T7T01,0.0,FNR_cort,DAN,5,70,0.650244964616222
PFM3T7T01,0.0,FNR_cort,DAN,50,70,0.416984213391399
PFM3T7T01,0.0,FNR_cort,DAN,55,70,0.394801306477953
PFM3T7T01,0.0,FNR_cort,DAN,60,70,0.387724550898204
PFM3T7T01,0.0,FNR_cort,DAN,65,70,0.404735982580294
PFM3T7T01,0.0,FNR_cort,DAN,70,70,0.424605334784976
PFM3T7T01,0.0,FNR_cort,DMN,10,70,0.225080770611463
PFM3T7T01,0.0,FNR_cort,DMN,15,70,0.197558932631327
PFM3T7T01,0.0,FNR_cort,DMN,20,70,0.217901160703602
PFM3T7T01,0.0,FNR_cort,DMN,25,70,0.208926648318775
PFM3T7T01,0.0,FNR_cort,DMN,30,70,0.186669857604403
PFM3T7T01,0.0,FNR_cort,DMN,35,70,0.185832236448486
PFM3T7T01,0.0,FNR_cort,DMN,40,70,0.183439033145866
PFM3T7T01,0.0,FNR_cort,DMN,45,70,0.193849467512265
PFM3T7T01,0.0,FNR_cort,DMN,5,70,0.396793107574488
PFM3T7T01,0.0,FNR_cort,DMN,50,70,0.198875194447768
PFM3T7T01,0.0,FNR_cort,DMN,55,70,0.181883450999162
PFM3T7T01,0.0,FNR_cort,DMN,60,70,0.180327868852459
PFM3T7T01,0.0,FNR_cort,DMN,65,70,0.178173985880101
PFM3T7T01,0.0,FNR_cort,DMN,70,70,0.197319612301065
PFM3T7T01,0.0,FNR_cort,FP,10,70,0.229541458136075
PFM3T7T01,0.0,FNR_cort,FP,15,70,0.230488299743
PFM3T7T01,0.0,FNR_cort,FP,20,70,0.188962532124983
PFM3T7T01,0.0,FNR_cort,FP,25,70,0.166644122818883
PFM3T7T01,0.0,FNR_cort,FP,30,70,0.133775192749899
PFM3T7T01,0.0,FNR_cort,FP,35,70,0.1301230894089
PFM3T7T01,0.0,FNR_cort,FP,40,70,0.130528878669011
PFM3T7T01,0.0,FNR_cort,FP,45,70,0.127282564588124
PFM3T7T01,0.0,FNR_cort,FP,5,70,0.191397267685649
PFM3T7T01,0.0,FNR_cort,FP,50,70,0.119978357906127
PFM3T7T01,0.0,FNR_cort,FP,55,70,0.136209928310564
PFM3T7T01,0.0,FNR_cort,FP,60,70,0.136615717570675
PFM3T7T01,0.0,FNR_cort,FP,65,70,0.117949411605573
PFM3T7T01,0.0,FNR_cort,FP,70,70,0.100770999594211
PFM3T7T01,0.0,FNR_cort,MTL,10,70,0.563625267012511
PFM3T7T01,0.0,FNR_cort,MTL,15,70,0.500152578577968
PFM3T7T01,0.0,FNR_cort,MTL,20,70,0.436679890143424
PFM3T7T01,0.0,FNR_cort,MTL,25,70,0.295697284101312
PFM3T7T01,0.0,FNR_cort,MTL,30,70,0.301800427220018
PFM3T7T01,0.0,FNR_cort,MTL,35,70,0.320415013732072
PFM3T7T01,0.0,FNR_cort,MTL,40,70,0.33292645712542
PFM3T7T01,0.0,FNR_cort,MTL,45,70,0.31339639914556
PFM3T7T01,0.0,FNR_cort,MTL,5,70,0.689655172413793
PFM3T7T01,0.0,FNR_cort,MTL,50,70,0.292340555386024
PFM3T7T01,0.0,FNR_cort,MTL,55,70,0.297833384192859
PFM3T7T01,0.0,FNR_cort,MTL,60,70,0.296002441257248
PFM3T7T01,0.0,FNR_cort,MTL,65,70,0.309124198962466
PFM3T7T01,0.0,FNR_cort,MTL,70,70,0.284711626487641
PFM3T7T01,0.0,FNR_cort,PMN,10,70,0.346236559139785
PFM3T7T01,0.0,FNR_cort,PMN,15,70,0.356989247311828
PFM3T7T01,0.0,FNR_cort,PMN,20,70,0.329569892473118
PFM3T7T01,0.0,FNR_cort,PMN,25,70,0.283333333333333
PFM3T7T01,0.0,FNR_cort,PMN,30,70,0.317741935483871
PFM3T7T01,0.0,FNR_cort,PMN,35,70,0.369354838709677
PFM3T7T01,0.0,FNR_cort,PMN,40,70,0.260752688172043
PFM3T7T01,0.0,FNR_cort,PMN,45,70,0.255376344086022
PFM3T7T01,0.0,FNR_cort,PMN,5,70,0.316129032258064
PFM3T7T01,0.0,FNR_cort,PMN,50,70,0.263978494623656
PFM3T7T01,0.0,FNR_cort,PMN,55,70,0.245161290322581
PFM3T7T01,0.0,FNR_cort,PMN,60,70,0.232795698924731
PFM3T7T01,0.0,FNR_cort,PMN,65,70,0.172043010752688
PFM3T7T01,0.0,FNR_cort,PMN,70,70,0.176344086021505
PFM3T7T01,0.0,FNR_cort,PON,10,70,0.509881422924901
PFM3T7T01,0.0,FNR_cort,PON,15,70,0.348955392433653
